,No.,Job_Company,Job_Title,Job_Description,Education_level,Skills_Requirement
0,1,PIXNET_優像數位媒體科技股份有限公司,資料分析師(NC-痞客邦研發中心),"作為大數據資料分析師，工作內容將會協同業務、廣告、商務、會員與內容等經營單位，從經營角度協助進行發掘改善經營的數據探索研究。

經驗證的研究結果將會協同 Research Team／Data Team 提供產品化的開發",大學以上,"作為大數據資料分析師，工作內容將會協同業務、廣告、商務、會員與內容等經營單位，從經營角度協助進行發掘改善經營的數據探索研究。

經驗證的研究結果將會協同 Research Team／Data Team 提供產品化的開發[{'code': '12001001029', 'description': 'UNIX'}, {'code': '12001003045', 'description': 'Python'}]基本條件：
1.具統計學概念與研究應用的經驗。
2.具使用R or Python進行統計運算的經驗。
3.具高度協同作業，團隊合作的態度。

加分條件：
1.具證明從數據中提供意義的見解的能力，而不僅僅是生成報告。
2.具Excel樞紐分析能力。"
1,2,易遊網股份有限公司,資料分析師,"1.資料蒐集、彙整、分析、結果呈現並支援行銷、產品部門分析需求。
2.協同行銷、產品等單位進行數據整理與規劃，並提出建議方向與策略。
3.運用數據分析技術與儀表版設計軟體視覺化呈現分析結果。
4.請提供過往對數據分析之相關經驗或案例，例如會員分群、推薦商品模型、消費者
   行為探討等。



",大學以上,"1.資料蒐集、彙整、分析、結果呈現並支援行銷、產品部門分析需求。
2.協同行銷、產品等單位進行數據整理與規劃，並提出建議方向與策略。
3.運用數據分析技術與儀表版設計軟體視覺化呈現分析結果。
4.請提供過往對數據分析之相關經驗或案例，例如會員分群、推薦商品模型、消費者
   行為探討等。



[{'code': '12001001007', 'description': 'Linux'}, {'code': '12001003078', 'description': 'R'}, {'code': '12001004038', 'description': 'PL/SQL'}, {'code': '12001011002', 'description': 'Google Analytics'}]1.2年以上商業數據資料採集與處理分析實務經驗，具獨立的專案規劃能力，
    熟悉data warehouse/data mart維護及開發者優先考慮。
2.須熟R或Python。
加分條件：
1.熱愛旅遊、善於溝通、樂於學習並重視團隊合作。
2.了解前端技術者佳。

"
2,3,美商心環科技股份有限公司,資料分析師,,大學以上,[]
3,4,烏龜移動科技股份有限公司,資料分析師,"蝙蝠移動的核心服務是提供客戶專屬的私有化 DMP（Data Management Platform 數據分析管理平台）。和每個客戶一起建立真正屬於自己產業 domain-knowledge 的數據分析管理平台，從技術和商業策略兩個面向完整的走完這個 Data Journey~

蝙蝠移動公司官網：
http://www.batmobile.com.tw

媒體報導：
1. https://www.inside.com.tw/2017/03/15/dmp
2. http://www.brain.com.tw/news/articlecontent?ID=44515&sort
3. http://www.brain.com.tw/news/articlecontent?ID=23162&sort=

1. 數據分析、挖掘、建模、模式評估等相關工作，並進行模型評估 
2. 資料視覺化設計
3. 熟悉預測方法、發展推薦演算法、個人化演算法
4. 爬蟲程式開發，並進行文字探勘",大學以上,"蝙蝠移動的核心服務是提供客戶專屬的私有化 DMP（Data Management Platform 數據分析管理平台）。和每個客戶一起建立真正屬於自己產業 domain-knowledge 的數據分析管理平台，從技術和商業策略兩個面向完整的走完這個 Data Journey~

蝙蝠移動公司官網：
http://www.batmobile.com.tw

媒體報導：
1. https://www.inside.com.tw/2017/03/15/dmp
2. http://www.brain.com.tw/news/articlecontent?ID=44515&sort
3. http://www.brain.com.tw/news/articlecontent?ID=23162&sort=

1. 數據分析、挖掘、建模、模式評估等相關工作，並進行模型評估 
2. 資料視覺化設計
3. 熟悉預測方法、發展推薦演算法、個人化演算法
4. 爬蟲程式開發，並進行文字探勘[]加分條件 
- 熟悉 NLP, Deep Learning
- 熟悉 Python
- 具Spark 及 GPU 運算優化經驗尤佳
- DMP 操作經驗"
4,5,艾普特媒體有限公司,資料分析師,"1. 理解並能運用機器學習演算法處理資料，建立模型對應商務需求。
2. 能跨部門(工程/商務/網管等)良好溝通，設計並規劃機器學習演算法的商品化。
3. 能持續學習機器學習相關演算內容，並能評估演算法可能的應用範圍。",大學、碩士,"1. 理解並能運用機器學習演算法處理資料，建立模型對應商務需求。
2. 能跨部門(工程/商務/網管等)良好溝通，設計並規劃機器學習演算法的商品化。
3. 能持續學習機器學習相關演算內容，並能評估演算法可能的應用範圍。[{'code': '12001003045', 'description': 'Python'}, {'code': '12001003078', 'description': 'R'}]需具機器學習模型專案經驗。
具大數據分析架構Hadoop HDFS / Spark 相關經驗加分。"
5,6,國泰金控_國泰金融控股股份有限公司,"數位資料分析師 Digital Data Analyst -- 生活金融(數數發中心, DDT)","我們正在尋找數位資料分析師，協助數位用戶的經營，並從資料中挖掘有用的資訊，輔佐產品不斷成長，工作內容包含但不限於如下相關內容:

1. 協助行銷活動推廣、追蹤、成效評估
2. 協助產品功能使用率、轉換率監控，及改版上線前後數據比對追蹤
3. 使用者輪廓分析、行為分析、體驗經營，提出見解及應用層的建議
4. 數位平台流量分析
5. A/B Testing實驗設計
6. 需有1年以上數位產品分析經驗",大學、碩士,"我們正在尋找數位資料分析師，協助數位用戶的經營，並從資料中挖掘有用的資訊，輔佐產品不斷成長，工作內容包含但不限於如下相關內容:

1. 協助行銷活動推廣、追蹤、成效評估
2. 協助產品功能使用率、轉換率監控，及改版上線前後數據比對追蹤
3. 使用者輪廓分析、行為分析、體驗經營，提出見解及應用層的建議
4. 數位平台流量分析
5. A/B Testing實驗設計
6. 需有1年以上數位產品分析經驗[]1.具備良好抗壓性與溝通能力 
2.熟悉統計分析軟體，需有SAS、SQL操作經驗  
3.孰悉 APP 數據分析工具 
4.有python開發經驗佳
5.有數位行銷成效追蹤的經驗佳
6.主動學習、探索新技術，具分析能力佳 
7.具備使用者體驗、產品優化、統計精算經驗者佳"
6,7,準線智慧科技股份有限公司,資深資料分析師,"1. 使用統計，數學,機器學習或deep learning等方法分析專案計畫產生的資料。
2. 將問題與需求轉化為可分析的條件以及狀態。
3. 定義專案分析的範圍以及方法論，定義假說以及指標,調整設計數據模型。
4. 定義解決方法步驟的優先度。
5. 設計建立分析所需工具。
6. 專案成果彙整。",碩士以上,"1. 使用統計，數學,機器學習或deep learning等方法分析專案計畫產生的資料。
2. 將問題與需求轉化為可分析的條件以及狀態。
3. 定義專案分析的範圍以及方法論，定義假說以及指標,調整設計數據模型。
4. 定義解決方法步驟的優先度。
5. 設計建立分析所需工具。
6. 專案成果彙整。[{'code': '12001003045', 'description': 'Python'}, {'code': '12001003078', 'description': 'R'}, {'code': '12001008003', 'description': 'Excel'}, {'code': '12001008011', 'description': 'Outlook'}, {'code': '12001008012', 'description': 'PowerPoint'}, {'code': '12001008016', 'description': 'Word'}]1.精通統計理論及機器學習相關知識。
2.熟悉Python或R之數據分析機器學習相關套件。
3.熟悉SQL資料庫語法及工具。
4.良好的溝通能力，能解釋複雜分析方法給予其他領域的專家了解。
5.熟悉電腦視覺演算法(object detection、segmentation、classification)及數位影像處理。
6.熟悉OpenCV、tensorflow或pytorch等常用套件- 具以下相關經驗者佳:
(1) 資料分析專案執行規劃
(2) 參與Kaggle或datathon
(3) Computer vision、Text mining等實作經驗"
7,8,永慶房產集團_永慶房屋仲介股份有限公司,資料分析師.,"永慶房產集團垂直整合三大事業群，10年成長25倍，歡迎具備邏輯思考、分析判斷及溝通能力的優秀人才加入我們，我們提供舒適的辦公環境，完整的升遷制度及教育訓練，更有資深同仁經驗分享，帶領新人熟悉工作，讓您可以在最優質完整的環境下全心投入與發展。

【工作內容說明】
1.客戶行為分析與研究
2.行銷活動事前客群分析與事後效益追蹤
3.資料採礦專案的應用推廣",大學以上,"永慶房產集團垂直整合三大事業群，10年成長25倍，歡迎具備邏輯思考、分析判斷及溝通能力的優秀人才加入我們，我們提供舒適的辦公環境，完整的升遷制度及教育訓練，更有資深同仁經驗分享，帶領新人熟悉工作，讓您可以在最優質完整的環境下全心投入與發展。

【工作內容說明】
1.客戶行為分析與研究
2.行銷活動事前客群分析與事後效益追蹤
3.資料採礦專案的應用推廣[{'code': '12001008003', 'description': 'Excel'}, {'code': '12001008011', 'description': 'Outlook'}, {'code': '12001008012', 'description': 'PowerPoint'}, {'code': '12001008016', 'description': 'Word'}, {'code': '12003005011', 'description': 'SPSS'}]1.邏輯思考、分析判斷、溝通能力佳
2.具統計分析能力
3.具研究報告撰寫、簡報能力
4.熟SPSS Modeler或SQL Server Data Mining工具者佳

優先面試經濟部工業局DIGI⁺ Talent計畫之結訓研習生(BD)"
8,9,智域國際股份有限公司,資料分析師 (Data Analyst),"-	與客戶溝通訪談確認分析需求以建立分析議題。
1. 根據不同議題、資料來源，設計資料模型，並以視覺化報表的形式呈現分析結果。
2. 與工程師合作架構資料倉儲系統並規畫整合數個倉儲系統為資料平台。
3. 建立Machine Learning預測模型，並做相關預測分析。
",大學以上,"-	與客戶溝通訪談確認分析需求以建立分析議題。
1. 根據不同議題、資料來源，設計資料模型，並以視覺化報表的形式呈現分析結果。
2. 與工程師合作架構資料倉儲系統並規畫整合數個倉儲系統為資料平台。
3. 建立Machine Learning預測模型，並做相關預測分析。
[{'code': '12001008003', 'description': 'Excel'}, {'code': '12001008012', 'description': 'PowerPoint'}, {'code': '12001008016', 'description': 'Word'}]1. 抗壓力強，可獨立作業，自我學習意願強
2. 熱愛資料分析、擅長統計或數值分析。

善用以下工具者佳：
-	Excel、Word、PowerPoint。
-	Python/R使用經驗、有SQL使用經驗者為佳。
-	具Data Modeling相關知識。具MS Power BI經驗者優先考量。
-	有SSIS、SSAS、SSRS經驗者優先考量。
-	具ML模型開發經驗者為佳。
"
9,10,艾思網絡股份有限公司,商業資料分析師 Business Data Analyst,"UrCosme (@cosme TAIWAN)是化妝品使用心得分享網站，集結豐富的美妝產業資訊及美妝愛好者的行為資料，而美妝行銷總研(CMRI)則運用此資料庫，以多元觀點進行消費者洞察分享，旨在提供美妝業界趨勢分析，本職缺內容如下：
1. 透過UrCosme網站資料庫進行資料分析與消費者洞察。
2. 定期舉辦seminar，對外分享美妝行銷總研(CMRI)產業趨勢。
(CMRI詳情可參閱：https://cmri.itrue.com.tw/)
3. 透過DMP資料解析，協助各事業部門發展dashboard。

此職務初期透過OJT的方式進行培訓，主要可歷練化妝品之於不同消費者關注的趨勢與行為觀察分析， 進而累積商業資料分析、思維與洞察力之專業。",碩士,"UrCosme (@cosme TAIWAN)是化妝品使用心得分享網站，集結豐富的美妝產業資訊及美妝愛好者的行為資料，而美妝行銷總研(CMRI)則運用此資料庫，以多元觀點進行消費者洞察分享，旨在提供美妝業界趨勢分析，本職缺內容如下：
1. 透過UrCosme網站資料庫進行資料分析與消費者洞察。
2. 定期舉辦seminar，對外分享美妝行銷總研(CMRI)產業趨勢。
(CMRI詳情可參閱：https://cmri.itrue.com.tw/)
3. 透過DMP資料解析，協助各事業部門發展dashboard。

此職務初期透過OJT的方式進行培訓，主要可歷練化妝品之於不同消費者關注的趨勢與行為觀察分析， 進而累積商業資料分析、思維與洞察力之專業。[{'code': '12001003045', 'description': 'Python'}, {'code': '12001003078', 'description': 'R'}]1.具有統計學相關知識，可運用方法論進行資料分析。
2.熟悉R語言，可獨立操作資料至少會一種以上程式語言方便資料處理（Ex: Python）。
3.具邏輯力、溝通能力，可獨立進行大型會議簡報。
4.喜好美妝產業，熱愛從數據資料中找出具經濟效益的商業應用者尤佳。"
10,11,瑞嘉軟體科技股份有限公司,Data Analyst / 資料分析師,"•  Discover insights from a wide variety of data sources for potential business decisions.
•  Collaborate across marketing, business operations, and business leaders to understand business questions.
•  Create detailed report based on data mining and data visualization for business requirement.
•  Perform other duties as necessary.",大學、碩士,"•  Discover insights from a wide variety of data sources for potential business decisions.
•  Collaborate across marketing, business operations, and business leaders to understand business questions.
•  Create detailed report based on data mining and data visualization for business requirement.
•  Perform other duties as necessary.[]【MUST TO HAVE】
•   Fluent English communication.
•   B.S. in Computer Science, Mathematics, Statistics or a related field.
•   Experience with data cleaning, visualization, and reporting.
•   Experience with scripting languages, e.g. Python, R.
•   Good understanding of data mining and machine learning techniques.

【NICE TO HAVE】
•  Knowledge of SQL databases and database query languages.
•  Experience with processing large, multi-dimensional datasets is a plus.
•  Good teamwork and communication skills.
"
11,12,富禾生醫股份有限公司,生物醫學資訊工程師,"1.生物醫學資料庫建立。
2.生物醫學數值之機器學習演算法開發及驗證。
3.協同PM進行數據分析、資訊視覺化，並報告分析結果、提出建議及後續成效評估。
4.主管交辦事項。",不拘,"1.生物醫學資料庫建立。
2.生物醫學數值之機器學習演算法開發及驗證。
3.協同PM進行數據分析、資訊視覺化，並報告分析結果、提出建議及後續成效評估。
4.主管交辦事項。[{'code': '12001003045', 'description': 'Python'}, {'code': '12001003078', 'description': 'R'}]1.具備程式開發熱忱與積極性，善於溝通協調與主動學習能力並能獨立解決問題。
2.具資料分析工作實務經驗一年以上。
3.熟悉機器學習及深度學習理論，並具備實作技術者佳。
4.具醫療產品開發經驗者者佳。
5.具備跨領域產品開發經驗者佳。
6.具備經濟部iPAS 巨量資料分析師證照者佳。
"
12,13,歐立威科技股份有限公司,資料分析師 (Data Analyst),"1. 針對平台數據內容，進行數據整理及分析。
2. 依需求將數據及資訊視覺化並說明分析結果。
3. 提供建議及後續成效評估
本職務需要具有以下技能：
1. 熟悉分類分群、推薦、迴歸預測等演算法理論基礎，並有實作經驗
2. 熟悉程式與分析應用，如 Python, R, SAS 等
3. 熟悉商業智慧(BI)工具，如 Tableau, PowerBI 等",專科以上,"1. 針對平台數據內容，進行數據整理及分析。
2. 依需求將數據及資訊視覺化並說明分析結果。
3. 提供建議及後續成效評估
本職務需要具有以下技能：
1. 熟悉分類分群、推薦、迴歸預測等演算法理論基礎，並有實作經驗
2. 熟悉程式與分析應用，如 Python, R, SAS 等
3. 熟悉商業智慧(BI)工具，如 Tableau, PowerBI 等[]1. 熟悉 Tableau 或其他相關分析工具。
2. 熟悉資料抽取/清理/轉換/載入等ETL流程。
3. 熟悉資料庫語法。(加分項目)
4. 具備良好溝通能力，能以英文進行溝通。(加分項目)
5. 學習、整合能力強，樂於團隊合作，分享成果。
6. 熱於研究新技術並能快速加以學習。"
