,Unnamed: 0,Unnamed: 0.1,No.,Job_Company,Job_Title,Job_Description,Education_level,Skills_Requirement,python,nosql,sql,r,ai,r語言,mysql,mongodb,資料庫,javascript,機器學習,深度學習,資料探勘,文字探勘,linux,統計學,資料分析,sap,sas,java,c++,c#
0,0,0,1,PIXNET_優像數位媒體科技股份有限公司,資料分析師(NC-痞客邦研發中心),"作為大數據資料分析師，工作內容將會協同業務、廣告、商務、會員與內容等經營單位，從經營角度協助進行發掘改善經營的數據探索研究。

經驗證的研究結果將會協同 Research Team／Data Team 提供產品化的開發",大學以上,"['python', '統計學', '資料分析']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,2,易遊網股份有限公司,資料分析師,"1.資料蒐集、彙整、分析、結果呈現並支援行銷、產品部門分析需求。
2.協同行銷、產品等單位進行數據整理與規劃，並提出建議方向與策略。
3.運用數據分析技術與儀表版設計軟體視覺化呈現分析結果。
4.請提供過往對數據分析之相關經驗或案例，例如會員分群、推薦商品模型、消費者
   行為探討等。



",大學以上,"['sql', 'linux', 'python']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,3,美商心環科技股份有限公司,資料分析師,,大學以上,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,4,烏龜移動科技股份有限公司,資料分析師,"蝙蝠移動的核心服務是提供客戶專屬的私有化 DMP（Data Management Platform 數據分析管理平台）。和每個客戶一起建立真正屬於自己產業 domain-knowledge 的數據分析管理平台，從技術和商業策略兩個面向完整的走完這個 Data Journey~

蝙蝠移動公司官網：
http://www.batmobile.com.tw

媒體報導：
1. https://www.inside.com.tw/2017/03/15/dmp
2. http://www.brain.com.tw/news/articlecontent?ID=44515&sort
3. http://www.brain.com.tw/news/articlecontent?ID=23162&sort=

1. 數據分析、挖掘、建模、模式評估等相關工作，並進行模型評估 
2. 資料視覺化設計
3. 熟悉預測方法、發展推薦演算法、個人化演算法
4. 爬蟲程式開發，並進行文字探勘",大學以上,"['文字探勘', 'python']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,5,艾普特媒體有限公司,資料分析師,"1. 理解並能運用機器學習演算法處理資料，建立模型對應商務需求。
2. 能跨部門(工程/商務/網管等)良好溝通，設計並規劃機器學習演算法的商品化。
3. 能持續學習機器學習相關演算內容，並能評估演算法可能的應用範圍。",大學、碩士,"['機器學習', 'python']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,5,6,國泰金控_國泰金融控股股份有限公司,"數位資料分析師 Digital Data Analyst -- 生活金融(數數發中心, DDT)","我們正在尋找數位資料分析師，協助數位用戶的經營，並從資料中挖掘有用的資訊，輔佐產品不斷成長，工作內容包含但不限於如下相關內容:

1. 協助行銷活動推廣、追蹤、成效評估
2. 協助產品功能使用率、轉換率監控，及改版上線前後數據比對追蹤
3. 使用者輪廓分析、行為分析、體驗經營，提出見解及應用層的建議
4. 數位平台流量分析
5. A/B Testing實驗設計
6. 需有1年以上數位產品分析經驗",大學、碩士,"['sas', 'sql', 'python', '資料分析']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,6,7,準線智慧科技股份有限公司,資深資料分析師,"1. 使用統計，數學,機器學習或deep learning等方法分析專案計畫產生的資料。
2. 將問題與需求轉化為可分析的條件以及狀態。
3. 定義專案分析的範圍以及方法論，定義假說以及指標,調整設計數據模型。
4. 定義解決方法步驟的優先度。
5. 設計建立分析所需工具。
6. 專案成果彙整。",碩士以上,"['sql', '資料分析', '機器學習', 'python', '資料庫']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,7,8,永慶房產集團_永慶房屋仲介股份有限公司,資料分析師.,"永慶房產集團垂直整合三大事業群，10年成長25倍，歡迎具備邏輯思考、分析判斷及溝通能力的優秀人才加入我們，我們提供舒適的辦公環境，完整的升遷制度及教育訓練，更有資深同仁經驗分享，帶領新人熟悉工作，讓您可以在最優質完整的環境下全心投入與發展。

【工作內容說明】
1.客戶行為分析與研究
2.行銷活動事前客群分析與事後效益追蹤
3.資料採礦專案的應用推廣",大學以上,['sql'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,8,9,智域國際股份有限公司,資料分析師 (Data Analyst),"-	與客戶溝通訪談確認分析需求以建立分析議題。
1. 根據不同議題、資料來源，設計資料模型，並以視覺化報表的形式呈現分析結果。
2. 與工程師合作架構資料倉儲系統並規畫整合數個倉儲系統為資料平台。
3. 建立Machine Learning預測模型，並做相關預測分析。
",大學以上,"['python', 'sql', '資料分析']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,9,10,艾思網絡股份有限公司,商業資料分析師 Business Data Analyst,"UrCosme (@cosme TAIWAN)是化妝品使用心得分享網站，集結豐富的美妝產業資訊及美妝愛好者的行為資料，而美妝行銷總研(CMRI)則運用此資料庫，以多元觀點進行消費者洞察分享，旨在提供美妝業界趨勢分析，本職缺內容如下：
1. 透過UrCosme網站資料庫進行資料分析與消費者洞察。
2. 定期舉辦seminar，對外分享美妝行銷總研(CMRI)產業趨勢。
(CMRI詳情可參閱：https://cmri.itrue.com.tw/)
3. 透過DMP資料解析，協助各事業部門發展dashboard。

此職務初期透過OJT的方式進行培訓，主要可歷練化妝品之於不同消費者關注的趨勢與行為觀察分析， 進而累積商業資料分析、思維與洞察力之專業。",碩士,"['r語言', 'ai', '資料分析', 'python', '統計學', '資料庫']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
